1,Human,0.941333,0.375,0.953678,0.15,0.985915,0.941333,0.375,0.953678,0.15,0.985915,0.941333,0.375,0.953678,0.15,0.985915,
2,Human,0.952,0.625,0.959128,0.25,0.991549,0.952,0.625,0.959128,0.25,0.991549,0.936,0.25,0.950954,0.1,0.983099,
3,Human,0.930667,0.125,0.948229,0.05,0.980282,0.941333,0.375,0.953678,0.15,0.985915,0.936,0.25,0.950954,0.1,0.983099,
4,Human,0.936,0.25,0.950954,0.1,0.983099,0.936,0.25,0.950954,0.1,0.983099,0.925333,0,0.945504,0,0.977465,
5,Human,0.946667,0.5,0.956403,0.2,0.988732,0.941333,0.375,0.953678,0.15,0.985915,0.936,0.25,0.950954,0.1,0.983099,
6,Human,0.946667,0.5,0.956403,0.2,0.988732,0.946667,0.5,0.956403,0.2,0.988732,0.941333,0.375,0.953678,0.15,0.985915,
7,Human,0.946667,0.5,0.956403,0.2,0.988732,0.946667,0.5,0.956403,0.2,0.988732,0.941333,0.375,0.953678,0.15,0.985915,
8,Human,0.930667,0.125,0.948229,0.05,0.980282,0.930667,0.125,0.948229,0.05,0.980282,0.941333,0.375,0.953678,0.15,0.985915,
9,Human,0.930667,0.125,0.948229,0.05,0.980282,0.930667,0.125,0.948229,0.05,0.980282,0.936,0.25,0.950954,0.1,0.983099,
10,Human,0.941333,0.375,0.953678,0.15,0.985915,0.941333,0.375,0.953678,0.15,0.985915,0.946667,0.5,0.956403,0.2,0.988732,
11,Human,0.946667,0.5,0.956403,0.2,0.988732,0.946667,0.5,0.956403,0.2,0.988732,0.946667,0.5,0.956403,0.2,0.988732,
12,Human,0.946667,0.5,0.956403,0.2,0.988732,0.941333,0.375,0.953678,0.15,0.985915,0.941333,0.375,0.953678,0.15,0.985915,
13,Human,0.925333,0,0.945504,0,0.977465,0.925333,0,0.945504,0,0.977465,0.930667,0.125,0.948229,0.05,0.980282,
14,Human,0.925333,0,0.945504,0,0.977465,0.925333,0,0.945504,0,0.977465,0.930667,0.125,0.948229,0.05,0.980282,
15,Human,0.925333,0,0.945504,0,0.977465,0.925333,0,0.945504,0,0.977465,0.930667,0.125,0.948229,0.05,0.980282,
16,Human,0.936,0.25,0.950954,0.1,0.983099,0.930667,0.125,0.948229,0.05,0.980282,0.930667,0.125,0.948229,0.05,0.980282,
17,Human,0.930667,0.125,0.948229,0.05,0.980282,0.930667,0.125,0.948229,0.05,0.980282,0.925333,0,0.945504,0,0.977465,
18,Human,0.925333,0,0.945504,0,0.977465,0.925333,0,0.945504,0,0.977465,0.936,0.25,0.950954,0.1,0.983099,
19,Human,0.941333,0.375,0.953678,0.15,0.985915,0.946667,0.5,0.956403,0.2,0.988732,0.936,0.25,0.950954,0.1,0.983099,
20,Human,0.941333,0.375,0.953678,0.15,0.985915,0.941333,0.375,0.953678,0.15,0.985915,0.946667,0.5,0.956403,0.2,0.988732,
21,Cup,0.968,0.875,0.970027,0.388889,0.997199,0.973333,1,0.972752,0.444444,1,0.962667,0.75,0.967302,0.333333,0.994398,
22,Cup,0.973333,1,0.972752,0.444444,1,0.973333,1,0.972752,0.444444,1,0.946667,0.375,0.959128,0.166667,0.985994,
23,Cup,0.957333,0.625,0.964578,0.277778,0.991597,0.968,0.875,0.970027,0.388889,0.997199,0.941333,0.25,0.956403,0.111111,0.983193,
24,Cup,0.968,0.875,0.970027,0.388889,0.997199,0.968,0.875,0.970027,0.388889,0.997199,0.957333,0.625,0.964578,0.277778,0.991597,
26,Cup,0.962667,0.75,0.967302,0.333333,0.994398,0.968,0.875,0.970027,0.388889,0.997199,0.952,0.5,0.961853,0.222222,0.988796,
27,Cup,0.973333,1,0.972752,0.444444,1,0.973333,1,0.972752,0.444444,1,0.957333,0.625,0.964578,0.277778,0.991597,
28,Cup,0.968,0.875,0.970027,0.388889,0.997199,0.973333,1,0.972752,0.444444,1,0.957333,0.625,0.964578,0.277778,0.991597,
29,Cup,0.968,0.875,0.970027,0.388889,0.997199,0.968,0.875,0.970027,0.388889,0.997199,0.946667,0.375,0.959128,0.166667,0.985994,
30,Cup,0.936,0.125,0.953678,0.0555556,0.980392,0.930667,0,0.950954,0,0.977591,0.936,0.125,0.953678,0.0555556,0.980392,
31,Cup,0.957333,0.625,0.964578,0.277778,0.991597,0.968,0.875,0.970027,0.388889,0.997199,0.946667,0.375,0.959128,0.166667,0.985994,
32,Cup,0.968,0.875,0.970027,0.388889,0.997199,0.968,0.875,0.970027,0.388889,0.997199,0.946667,0.375,0.959128,0.166667,0.985994,
33,Cup,0.973333,1,0.972752,0.444444,1,0.973333,1,0.972752,0.444444,1,0.946667,0.375,0.959128,0.166667,0.985994,
34,Cup,0.968,0.875,0.970027,0.388889,0.997199,0.962667,0.75,0.967302,0.333333,0.994398,0.941333,0.25,0.956403,0.111111,0.983193,
35,Cup,0.936,0.125,0.953678,0.0555556,0.980392,0.946667,0.375,0.959128,0.166667,0.985994,0.930667,0,0.950954,0,0.977591,
36,Cup,0.962667,0.75,0.967302,0.333333,0.994398,0.968,0.875,0.970027,0.388889,0.997199,0.930667,0,0.950954,0,0.977591,
37,Cup,0.973333,1,0.972752,0.444444,1,0.973333,1,0.972752,0.444444,1,0.941333,0.25,0.956403,0.111111,0.983193,
38,Cup,0.973333,1,0.972752,0.444444,1,0.973333,1,0.972752,0.444444,1,0.957333,0.625,0.964578,0.277778,0.991597,
40,Cup,0.962667,0.75,0.967302,0.333333,0.994398,0.968,0.875,0.970027,0.388889,0.997199,0.941333,0.25,0.956403,0.111111,0.983193,
