Meshno,Category,Accuracy,Presicion,NPV,Sensitivity,Specificity,Accuracy,Presicion,NPV,Sensitivity,Specificity,Accuracy,Presicion,NPV,Sensitivity,Specificity
185,Hand,0.925333,0.1,0.947945,0.05,0.974648,0.941333,0.4,0.956164,0.2,0.983099,0.925333,0.1,0.947945,0.05,0.974648
186,Hand,0.936,0.3,0.953425,0.15,0.980282,0.930667,0.2,0.950685,0.1,0.977465,0.941333,0.4,0.956164,0.2,0.983099
187,Hand,0.936,0.3,0.953425,0.15,0.980282,0.936,0.3,0.953425,0.15,0.980282,0.936,0.3,0.953425,0.15,0.980282
188,Hand,0.936,0.3,0.953425,0.15,0.980282,0.925333,0.1,0.947945,0.05,0.974648,0.941333,0.4,0.956164,0.2,0.983099
189,Hand,0.92,0,0.945205,0,0.971831,0.925333,0.1,0.947945,0.05,0.974648,0.92,0,0.945205,0,0.971831
190,Hand,0.936,0.3,0.953425,0.15,0.980282,0.930667,0.2,0.950685,0.1,0.977465,0.946667,0.5,0.958904,0.25,0.985915
191,Hand,0.92,0,0.945205,0,0.971831,0.936,0.3,0.953425,0.15,0.980282,0.925333,0.1,0.947945,0.05,0.974648
192,Hand,0.925333,0.1,0.947945,0.05,0.974648,0.930667,0.2,0.950685,0.1,0.977465,0.925333,0.1,0.947945,0.05,0.974648
193,Hand,0.941333,0.4,0.956164,0.2,0.983099,0.925333,0.1,0.947945,0.05,0.974648,0.941333,0.4,0.956164,0.2,0.983099
194,Hand,0.946667,0.5,0.958904,0.25,0.985915,0.930667,0.2,0.950685,0.1,0.977465,0.946667,0.5,0.958904,0.25,0.985915
195,Hand,0.946667,0.5,0.958904,0.25,0.985915,0.930667,0.2,0.950685,0.1,0.977465,0.946667,0.5,0.958904,0.25,0.985915
196,Hand,0.941333,0.4,0.956164,0.2,0.983099,0.936,0.3,0.953425,0.15,0.980282,0.941333,0.4,0.956164,0.2,0.983099
197,Hand,0.946667,0.5,0.958904,0.25,0.985915,0.936,0.3,0.953425,0.15,0.980282,0.941333,0.4,0.956164,0.2,0.983099
198,Hand,0.930667,0.2,0.950685,0.1,0.977465,0.92,0,0.945205,0,0.971831,0.925333,0.1,0.947945,0.05,0.974648
199,Hand,0.930667,0.2,0.950685,0.1,0.977465,0.925333,0.1,0.947945,0.05,0.974648,0.936,0.3,0.953425,0.15,0.980282
200,Hand,0.936,0.3,0.953425,0.15,0.980282,0.936,0.3,0.953425,0.15,0.980282,0.936,0.3,0.953425,0.15,0.980282
201,Plier,0.946667,0.5,0.958904,0.25,0.985915,0.936,0.3,0.953425,0.15,0.980282,0.952,0.6,0.961644,0.3,0.988732
202,Plier,0.957333,0.7,0.964384,0.35,0.991549,0.930667,0.2,0.950685,0.1,0.977465,0.962667,0.8,0.967123,0.4,0.994366
203,Plier,0.968,0.9,0.969863,0.45,0.997183,0.930667,0.2,0.950685,0.1,0.977465,0.973333,1,0.972603,0.5,1
204,Plier,0.952,0.6,0.961644,0.3,0.988732,0.930667,0.2,0.950685,0.1,0.977465,0.952,0.6,0.961644,0.3,0.988732
205,Plier,0.962667,0.8,0.967123,0.4,0.994366,0.925333,0.1,0.947945,0.05,0.974648,0.962667,0.8,0.967123,0.4,0.994366
206,Plier,0.968,0.9,0.969863,0.45,0.997183,0.930667,0.2,0.950685,0.1,0.977465,0.973333,1,0.972603,0.5,1
207,Plier,0.973333,1,0.972603,0.5,1,0.930667,0.2,0.950685,0.1,0.977465,0.973333,1,0.972603,0.5,1
208,Plier,0.973333,1,0.972603,0.5,1,0.930667,0.2,0.950685,0.1,0.977465,0.973333,1,0.972603,0.5,1
209,Plier,0.973333,1,0.972603,0.5,1,0.936,0.3,0.953425,0.15,0.980282,0.973333,1,0.972603,0.5,1
210,Plier,0.973333,1,0.972603,0.5,1,0.925333,0.1,0.947945,0.05,0.974648,0.973333,1,0.972603,0.5,1
211,Plier,0.962667,0.8,0.967123,0.4,0.994366,0.930667,0.2,0.950685,0.1,0.977465,0.962667,0.8,0.967123,0.4,0.994366
212,Plier,0.952,0.6,0.961644,0.3,0.988732,0.930667,0.2,0.950685,0.1,0.977465,0.952,0.6,0.961644,0.3,0.988732
213,Plier,0.952,0.6,0.961644,0.3,0.988732,0.92,0,0.945205,0,0.971831,0.952,0.6,0.961644,0.3,0.988732
214,Plier,0.952,0.6,0.961644,0.3,0.988732,0.925333,0.1,0.947945,0.05,0.974648,0.952,0.6,0.961644,0.3,0.988732
215,Plier,0.946667,0.5,0.958904,0.25,0.985915,0.930667,0.2,0.950685,0.1,0.977465,0.946667,0.5,0.958904,0.25,0.985915
216,Plier,0.941333,0.4,0.956164,0.2,0.983099,0.925333,0.1,0.947945,0.05,0.974648,0.946667,0.5,0.958904,0.25,0.985915
217,Plier,0.973333,1,0.972603,0.5,1,0.925333,0.1,0.947945,0.05,0.974648,0.973333,1,0.972603,0.5,1
218,Plier,0.973333,1,0.972603,0.5,1,0.936,0.3,0.953425,0.15,0.980282,0.968,0.9,0.969863,0.45,0.997183
219,Plier,0.973333,1,0.972603,0.5,1,0.930667,0.2,0.950685,0.1,0.977465,0.973333,1,0.972603,0.5,1
220,Plier,0.973333,1,0.972603,0.5,1,0.930667,0.2,0.950685,0.1,0.977465,0.973333,1,0.972603,0.5,1
221,Fish,0.946667,0.5,0.958904,0.25,0.985915,0.925333,0.1,0.947945,0.05,0.974648,0.941333,0.4,0.956164,0.2,0.983099
222,Fish,0.968,0.9,0.969863,0.45,0.997183,0.925333,0.1,0.947945,0.05,0.974648,0.962667,0.8,0.967123,0.4,0.994366
223,Fish,0.952,0.6,0.961644,0.3,0.988732,0.92,0,0.945205,0,0.971831,0.952,0.6,0.961644,0.3,0.988732
224,Fish,0.946667,0.5,0.958904,0.25,0.985915,0.925333,0.1,0.947945,0.05,0.974648,0.962667,0.8,0.967123,0.4,0.994366
225,Fish,0.952,0.6,0.961644,0.3,0.988732,0.925333,0.1,0.947945,0.05,0.974648,0.952,0.6,0.961644,0.3,0.988732
226,Fish,0.957333,0.7,0.964384,0.35,0.991549,0.930667,0.2,0.950685,0.1,0.977465,0.962667,0.8,0.967123,0.4,0.994366
227,Fish,0.962667,0.8,0.967123,0.4,0.994366,0.92,0,0.945205,0,0.971831,0.962667,0.8,0.967123,0.4,0.994366
228,Fish,0.952,0.6,0.961644,0.3,0.988732,0.930667,0.2,0.950685,0.1,0.977465,0.962667,0.8,0.967123,0.4,0.994366
229,Fish,0.962667,0.8,0.967123,0.4,0.994366,0.930667,0.2,0.950685,0.1,0.977465,0.968,0.9,0.969863,0.45,0.997183
230,Fish,0.941333,0.4,0.956164,0.2,0.983099,0.930667,0.2,0.950685,0.1,0.977465,0.936,0.3,0.953425,0.15,0.980282
231,Fish,0.962667,0.8,0.967123,0.4,0.994366,0.92,0,0.945205,0,0.971831,0.962667,0.8,0.967123,0.4,0.994366
232,Fish,0.941333,0.4,0.956164,0.2,0.983099,0.930667,0.2,0.950685,0.1,0.977465,0.957333,0.7,0.964384,0.35,0.991549
233,Fish,0.92,0,0.945205,0,0.971831,0.925333,0.1,0.947945,0.05,0.974648,0.92,0,0.945205,0,0.971831
234,Fish,0.946667,0.5,0.958904,0.25,0.985915,0.930667,0.2,0.950685,0.1,0.977465,0.941333,0.4,0.956164,0.2,0.983099
235,Fish,0.957333,0.7,0.964384,0.35,0.991549,0.925333,0.1,0.947945,0.05,0.974648,0.968,0.9,0.969863,0.45,0.997183
236,Fish,0.946667,0.5,0.958904,0.25,0.985915,0.92,0,0.945205,0,0.971831,0.952,0.6,0.961644,0.3,0.988732
237,Fish,0.941333,0.4,0.956164,0.2,0.983099,0.936,0.3,0.953425,0.15,0.980282,0.946667,0.5,0.958904,0.25,0.985915
238,Fish,0.957333,0.7,0.964384,0.35,0.991549,0.925333,0.1,0.947945,0.05,0.974648,0.962667,0.8,0.967123,0.4,0.994366
239,Fish,0.946667,0.5,0.958904,0.25,0.985915,0.925333,0.1,0.947945,0.05,0.974648,0.952,0.6,0.961644,0.3,0.988732
240,Fish,0.957333,0.7,0.964384,0.35,0.991549,0.925333,0.1,0.947945,0.05,0.974648,0.946667,0.5,0.958904,0.25,0.985915
241,Bird,0.925333,0.1,0.947945,0.05,0.974648,0.930667,0.2,0.950685,0.1,0.977465,0.930667,0.2,0.950685,0.1,0.977465
242,Bird,0.936,0.3,0.953425,0.15,0.980282,0.925333,0.1,0.947945,0.05,0.974648,0.925333,0.1,0.947945,0.05,0.974648
243,Bird,0.930667,0.2,0.950685,0.1,0.977465,0.925333,0.1,0.947945,0.05,0.974648,0.930667,0.2,0.950685,0.1,0.977465
244,Bird,0.930667,0.2,0.950685,0.1,0.977465,0.92,0,0.945205,0,0.971831,0.930667,0.2,0.950685,0.1,0.977465
245,Bird,0.936,0.3,0.953425,0.15,0.980282,0.930667,0.2,0.950685,0.1,0.977465,0.930667,0.2,0.950685,0.1,0.977465
246,Bird,0.925333,0.1,0.947945,0.05,0.974648,0.92,0,0.945205,0,0.971831,0.930667,0.2,0.950685,0.1,0.977465
247,Bird,0.936,0.3,0.953425,0.15,0.980282,0.925333,0.1,0.947945,0.05,0.974648,0.936,0.3,0.953425,0.15,0.980282
248,Bird,0.930667,0.2,0.950685,0.1,0.977465,0.925333,0.1,0.947945,0.05,0.974648,0.930667,0.2,0.950685,0.1,0.977465
249,Bird,0.925333,0.1,0.947945,0.05,0.974648,0.930667,0.2,0.950685,0.1,0.977465,0.930667,0.2,0.950685,0.1,0.977465
250,Bird,0.925333,0.1,0.947945,0.05,0.974648,0.925333,0.1,0.947945,0.05,0.974648,0.925333,0.1,0.947945,0.05,0.974648
251,Bird,0.930667,0.2,0.950685,0.1,0.977465,0.925333,0.1,0.947945,0.05,0.974648,0.930667,0.2,0.950685,0.1,0.977465
252,Bird,0.936,0.3,0.953425,0.15,0.980282,0.925333,0.1,0.947945,0.05,0.974648,0.930667,0.2,0.950685,0.1,0.977465
253,Bird,0.925333,0.1,0.947945,0.05,0.974648,0.930667,0.2,0.950685,0.1,0.977465,0.92,0,0.945205,0,0.971831
254,Bird,0.930667,0.2,0.950685,0.1,0.977465,0.930667,0.2,0.950685,0.1,0.977465,0.925333,0.1,0.947945,0.05,0.974648
255,Bird,0.930667,0.2,0.950685,0.1,0.977465,0.925333,0.1,0.947945,0.05,0.974648,0.930667,0.2,0.950685,0.1,0.977465
256,Bird,0.930667,0.2,0.950685,0.1,0.977465,0.925333,0.1,0.947945,0.05,0.974648,0.930667,0.2,0.950685,0.1,0.977465
257,Bird,0.925333,0.1,0.947945,0.05,0.974648,0.930667,0.2,0.950685,0.1,0.977465,0.92,0,0.945205,0,0.971831
258,Bird,0.936,0.3,0.953425,0.15,0.980282,0.930667,0.2,0.950685,0.1,0.977465,0.930667,0.2,0.950685,0.1,0.977465
259,Bird,0.92,0,0.945205,0,0.971831,0.92,0,0.945205,0,0.971831,0.925333,0.1,0.947945,0.05,0.974648
260,Bird,0.930667,0.2,0.950685,0.1,0.977465,0.92,0,0.945205,0,0.971831,0.930667,0.2,0.950685,0.1,0.977465
281,Armadillo,0.946667,0.5,0.958904,0.25,0.985915,0.925333,0.1,0.947945,0.05,0.974648,0.952,0.6,0.961644,0.3,0.988732
282,Armadillo,0.957333,0.7,0.964384,0.35,0.991549,0.925333,0.1,0.947945,0.05,0.974648,0.952,0.6,0.961644,0.3,0.988732
283,Armadillo,0.925333,0.1,0.947945,0.05,0.974648,0.925333,0.1,0.947945,0.05,0.974648,0.925333,0.1,0.947945,0.05,0.974648
284,Armadillo,0.936,0.3,0.953425,0.15,0.980282,0.925333,0.1,0.947945,0.05,0.974648,0.946667,0.5,0.958904,0.25,0.985915
285,Armadillo,0.941333,0.4,0.956164,0.2,0.983099,0.925333,0.1,0.947945,0.05,0.974648,0.946667,0.5,0.958904,0.25,0.985915
286,Armadillo,0.941333,0.4,0.956164,0.2,0.983099,0.925333,0.1,0.947945,0.05,0.974648,0.936,0.3,0.953425,0.15,0.980282
287,Armadillo,0.946667,0.5,0.958904,0.25,0.985915,0.925333,0.1,0.947945,0.05,0.974648,0.946667,0.5,0.958904,0.25,0.985915
288,Armadillo,0.941333,0.4,0.956164,0.2,0.983099,0.930667,0.2,0.950685,0.1,0.977465,0.941333,0.4,0.956164,0.2,0.983099
289,Armadillo,0.946667,0.5,0.958904,0.25,0.985915,0.925333,0.1,0.947945,0.05,0.974648,0.952,0.6,0.961644,0.3,0.988732
290,Armadillo,0.925333,0.1,0.947945,0.05,0.974648,0.930667,0.2,0.950685,0.1,0.977465,0.92,0,0.945205,0,0.971831
291,Armadillo,0.930667,0.2,0.950685,0.1,0.977465,0.925333,0.1,0.947945,0.05,0.974648,0.936,0.3,0.953425,0.15,0.980282
292,Armadillo,0.952,0.6,0.961644,0.3,0.988732,0.925333,0.1,0.947945,0.05,0.974648,0.952,0.6,0.961644,0.3,0.988732
293,Armadillo,0.936,0.3,0.953425,0.15,0.980282,0.930667,0.2,0.950685,0.1,0.977465,0.941333,0.4,0.956164,0.2,0.983099
294,Armadillo,0.925333,0.1,0.947945,0.05,0.974648,0.925333,0.1,0.947945,0.05,0.974648,0.925333,0.1,0.947945,0.05,0.974648
295,Armadillo,0.925333,0.1,0.947945,0.05,0.974648,0.925333,0.1,0.947945,0.05,0.974648,0.930667,0.2,0.950685,0.1,0.977465
296,Armadillo,0.946667,0.5,0.958904,0.25,0.985915,0.941333,0.4,0.956164,0.2,0.983099,0.952,0.6,0.961644,0.3,0.988732
297,Armadillo,0.930667,0.2,0.950685,0.1,0.977465,0.930667,0.2,0.950685,0.1,0.977465,0.930667,0.2,0.950685,0.1,0.977465
298,Armadillo,0.952,0.6,0.961644,0.3,0.988732,0.930667,0.2,0.950685,0.1,0.977465,0.946667,0.5,0.958904,0.25,0.985915
299,Armadillo,0.941333,0.4,0.956164,0.2,0.983099,0.925333,0.1,0.947945,0.05,0.974648,0.941333,0.4,0.956164,0.2,0.983099
300,Armadillo,0.946667,0.5,0.958904,0.25,0.985915,0.925333,0.1,0.947945,0.05,0.974648,0.946667,0.5,0.958904,0.25,0.985915
301,Bust,0.925333,0.1,0.947945,0.05,0.974648,0.92,0,0.945205,0,0.971831,0.92,0,0.945205,0,0.971831
302,Bust,0.962667,0.8,0.967123,0.4,0.994366,0.925333,0.1,0.947945,0.05,0.974648,0.962667,0.8,0.967123,0.4,0.994366
303,Bust,0.936,0.3,0.953425,0.15,0.980282,0.925333,0.1,0.947945,0.05,0.974648,0.946667,0.5,0.958904,0.25,0.985915
304,Bust,0.92,0,0.945205,0,0.971831,0.92,0,0.945205,0,0.971831,0.92,0,0.945205,0,0.971831
305,Bust,0.962667,0.8,0.967123,0.4,0.994366,0.925333,0.1,0.947945,0.05,0.974648,0.957333,0.7,0.964384,0.35,0.991549
306,Bust,0.952,0.6,0.961644,0.3,0.988732,0.92,0,0.945205,0,0.971831,0.952,0.6,0.961644,0.3,0.988732
307,Bust,0.930667,0.2,0.950685,0.1,0.977465,0.936,0.3,0.953425,0.15,0.980282,0.936,0.3,0.953425,0.15,0.980282
308,Bust,0.930667,0.2,0.950685,0.1,0.977465,0.925333,0.1,0.947945,0.05,0.974648,0.936,0.3,0.953425,0.15,0.980282
309,Bust,0.968,0.9,0.969863,0.45,0.997183,0.925333,0.1,0.947945,0.05,0.974648,0.973333,1,0.972603,0.5,1
310,Bust,0.957333,0.7,0.964384,0.35,0.991549,0.92,0,0.945205,0,0.971831,0.952,0.6,0.961644,0.3,0.988732
311,Bust,0.957333,0.7,0.964384,0.35,0.991549,0.92,0,0.945205,0,0.971831,0.957333,0.7,0.964384,0.35,0.991549
312,Bust,0.968,0.9,0.969863,0.45,0.997183,0.92,0,0.945205,0,0.971831,0.962667,0.8,0.967123,0.4,0.994366
313,Bust,0.968,0.9,0.969863,0.45,0.997183,0.925333,0.1,0.947945,0.05,0.974648,0.962667,0.8,0.967123,0.4,0.994366
314,Bust,0.930667,0.2,0.950685,0.1,0.977465,0.925333,0.1,0.947945,0.05,0.974648,0.930667,0.2,0.950685,0.1,0.977465
315,Bust,0.957333,0.7,0.964384,0.35,0.991549,0.925333,0.1,0.947945,0.05,0.974648,0.952,0.6,0.961644,0.3,0.988732
316,Bust,0.968,0.9,0.969863,0.45,0.997183,0.930667,0.2,0.950685,0.1,0.977465,0.962667,0.8,0.967123,0.4,0.994366
317,Bust,0.957333,0.7,0.964384,0.35,0.991549,0.92,0,0.945205,0,0.971831,0.946667,0.5,0.958904,0.25,0.985915
318,Bust,0.941333,0.4,0.956164,0.2,0.983099,0.92,0,0.945205,0,0.971831,0.936,0.3,0.953425,0.15,0.980282
319,Bust,0.962667,0.8,0.967123,0.4,0.994366,0.92,0,0.945205,0,0.971831,0.952,0.6,0.961644,0.3,0.988732
320,Bust,0.962667,0.8,0.967123,0.4,0.994366,0.925333,0.1,0.947945,0.05,0.974648,0.962667,0.8,0.967123,0.4,0.994366
321,Mech,0.973333,1,0.972603,0.5,1,0.930667,0.2,0.950685,0.1,0.977465,0.973333,1,0.972603,0.5,1
322,Mech,0.973333,1,0.972603,0.5,1,0.941333,0.4,0.956164,0.2,0.983099,0.973333,1,0.972603,0.5,1
323,Mech,0.973333,1,0.972603,0.5,1,0.936,0.3,0.953425,0.15,0.980282,0.973333,1,0.972603,0.5,1
324,Mech,0.930667,0.2,0.950685,0.1,0.977465,0.925333,0.1,0.947945,0.05,0.974648,0.936,0.3,0.953425,0.15,0.980282
325,Mech,0.962667,0.8,0.967123,0.4,0.994366,0.930667,0.2,0.950685,0.1,0.977465,0.962667,0.8,0.967123,0.4,0.994366
326,Mech,0.973333,1,0.972603,0.5,1,0.941333,0.4,0.956164,0.2,0.983099,0.973333,1,0.972603,0.5,1
327,Mech,0.936,0.3,0.953425,0.15,0.980282,0.925333,0.1,0.947945,0.05,0.974648,0.936,0.3,0.953425,0.15,0.980282
328,Mech,0.973333,1,0.972603,0.5,1,0.930667,0.2,0.950685,0.1,0.977465,0.973333,1,0.972603,0.5,1
329,Mech,0.973333,1,0.972603,0.5,1,0.930667,0.2,0.950685,0.1,0.977465,0.973333,1,0.972603,0.5,1
330,Mech,0.973333,1,0.972603,0.5,1,0.930667,0.2,0.950685,0.1,0.977465,0.973333,1,0.972603,0.5,1
331,Mech,0.968,0.9,0.969863,0.45,0.997183,0.941333,0.4,0.956164,0.2,0.983099,0.968,0.9,0.969863,0.45,0.997183
332,Mech,0.962667,0.8,0.967123,0.4,0.994366,0.925333,0.1,0.947945,0.05,0.974648,0.962667,0.8,0.967123,0.4,0.994366
333,Mech,0.962667,0.8,0.967123,0.4,0.994366,0.936,0.3,0.953425,0.15,0.980282,0.962667,0.8,0.967123,0.4,0.994366
334,Mech,0.973333,1,0.972603,0.5,1,0.92,0,0.945205,0,0.971831,0.973333,1,0.972603,0.5,1
335,Mech,0.973333,1,0.972603,0.5,1,0.92,0,0.945205,0,0.971831,0.973333,1,0.972603,0.5,1
336,Mech,0.92,0,0.945205,0,0.971831,0.92,0,0.945205,0,0.971831,0.92,0,0.945205,0,0.971831
337,Mech,0.952,0.6,0.961644,0.3,0.988732,0.92,0,0.945205,0,0.971831,0.952,0.6,0.961644,0.3,0.988732
338,Mech,0.952,0.6,0.961644,0.3,0.988732,0.930667,0.2,0.950685,0.1,0.977465,0.952,0.6,0.961644,0.3,0.988732
339,Mech,0.968,0.9,0.969863,0.45,0.997183,0.930667,0.2,0.950685,0.1,0.977465,0.968,0.9,0.969863,0.45,0.997183
340,Mech,0.973333,1,0.972603,0.5,1,0.946667,0.5,0.958904,0.25,0.985915,0.973333,1,0.972603,0.5,1
341,Bearing,0.944,0.4,0.958904,0.210526,0.983146,0.928,0.1,0.950685,0.0526316,0.974719,0.949333,0.5,0.961644,0.263158,0.985955
342,Bearing,0.928,0.1,0.950685,0.0526316,0.974719,0.928,0.1,0.950685,0.0526316,0.974719,0.944,0.4,0.958904,0.210526,0.983146
343,Bearing,0.938667,0.3,0.956164,0.157895,0.980337,0.938667,0.3,0.956164,0.157895,0.980337,0.949333,0.5,0.961644,0.263158,0.985955
344,Bearing,0.938667,0.3,0.956164,0.157895,0.980337,0.928,0.1,0.950685,0.0526316,0.974719,0.938667,0.3,0.956164,0.157895,0.980337
345,Bearing,0.938667,0.3,0.956164,0.157895,0.980337,0.922667,0,0.947945,0,0.97191,0.938667,0.3,0.956164,0.157895,0.980337
346,Bearing,0.938667,0.3,0.956164,0.157895,0.980337,0.922667,0,0.947945,0,0.97191,0.938667,0.3,0.956164,0.157895,0.980337
347,Bearing,0.938667,0.3,0.956164,0.157895,0.980337,0.928,0.1,0.950685,0.0526316,0.974719,0.938667,0.3,0.956164,0.157895,0.980337
348,Bearing,0.933333,0.2,0.953425,0.105263,0.977528,0.922667,0,0.947945,0,0.97191,0.938667,0.3,0.956164,0.157895,0.980337
349,Bearing,0.928,0.1,0.950685,0.0526316,0.974719,0.928,0.1,0.950685,0.0526316,0.974719,0.928,0.1,0.950685,0.0526316,0.974719
350,Bearing,0.938667,0.3,0.956164,0.157895,0.980337,0.928,0.1,0.950685,0.0526316,0.974719,0.944,0.4,0.958904,0.210526,0.983146
351,Bearing,0.944,0.4,0.958904,0.210526,0.983146,0.933333,0.2,0.953425,0.105263,0.977528,0.949333,0.5,0.961644,0.263158,0.985955
352,Bearing,0.938667,0.3,0.956164,0.157895,0.980337,0.928,0.1,0.950685,0.0526316,0.974719,0.944,0.4,0.958904,0.210526,0.983146
353,Bearing,0.933333,0.2,0.953425,0.105263,0.977528,0.928,0.1,0.950685,0.0526316,0.974719,0.944,0.4,0.958904,0.210526,0.983146
354,Bearing,0.938667,0.3,0.956164,0.157895,0.980337,0.938667,0.3,0.956164,0.157895,0.980337,0.928,0.1,0.950685,0.0526316,0.974719
355,Bearing,0.933333,0.2,0.953425,0.105263,0.977528,0.933333,0.2,0.953425,0.105263,0.977528,0.944,0.4,0.958904,0.210526,0.983146
356,Bearing,0.933333,0.2,0.953425,0.105263,0.977528,0.928,0.1,0.950685,0.0526316,0.974719,0.944,0.4,0.958904,0.210526,0.983146
358,Bearing,0.928,0.1,0.950685,0.0526316,0.974719,0.922667,0,0.947945,0,0.97191,0.928,0.1,0.950685,0.0526316,0.974719
359,Bearing,0.928,0.1,0.950685,0.0526316,0.974719,0.922667,0,0.947945,0,0.97191,0.928,0.1,0.950685,0.0526316,0.974719
360,Bearing,0.938667,0.3,0.956164,0.157895,0.980337,0.928,0.1,0.950685,0.0526316,0.974719,0.944,0.4,0.958904,0.210526,0.983146
361,Vase,0.930667,0.2,0.950685,0.1,0.977465,0.92,0,0.945205,0,0.971831,0.930667,0.2,0.950685,0.1,0.977465
362,Vase,0.92,0,0.945205,0,0.971831,0.92,0,0.945205,0,0.971831,0.92,0,0.945205,0,0.971831
363,Vase,0.930667,0.2,0.950685,0.1,0.977465,0.925333,0.1,0.947945,0.05,0.974648,0.930667,0.2,0.950685,0.1,0.977465
364,Vase,0.941333,0.4,0.956164,0.2,0.983099,0.92,0,0.945205,0,0.971831,0.941333,0.4,0.956164,0.2,0.983099
365,Vase,0.925333,0.1,0.947945,0.05,0.974648,0.925333,0.1,0.947945,0.05,0.974648,0.92,0,0.945205,0,0.971831
366,Vase,0.936,0.3,0.953425,0.15,0.980282,0.92,0,0.945205,0,0.971831,0.936,0.3,0.953425,0.15,0.980282
367,Vase,0.952,0.6,0.961644,0.3,0.988732,0.930667,0.2,0.950685,0.1,0.977465,0.952,0.6,0.961644,0.3,0.988732
368,Vase,0.936,0.3,0.953425,0.15,0.980282,0.936,0.3,0.953425,0.15,0.980282,0.936,0.3,0.953425,0.15,0.980282
369,Vase,0.925333,0.1,0.947945,0.05,0.974648,0.930667,0.2,0.950685,0.1,0.977465,0.930667,0.2,0.950685,0.1,0.977465
370,Vase,0.941333,0.4,0.956164,0.2,0.983099,0.936,0.3,0.953425,0.15,0.980282,0.946667,0.5,0.958904,0.25,0.985915
371,Vase,0.925333,0.1,0.947945,0.05,0.974648,0.930667,0.2,0.950685,0.1,0.977465,0.930667,0.2,0.950685,0.1,0.977465
372,Vase,0.925333,0.1,0.947945,0.05,0.974648,0.946667,0.5,0.958904,0.25,0.985915,0.925333,0.1,0.947945,0.05,0.974648
373,Vase,0.946667,0.5,0.958904,0.25,0.985915,0.930667,0.2,0.950685,0.1,0.977465,0.941333,0.4,0.956164,0.2,0.983099
374,Vase,0.936,0.3,0.953425,0.15,0.980282,0.925333,0.1,0.947945,0.05,0.974648,0.930667,0.2,0.950685,0.1,0.977465
375,Vase,0.930667,0.2,0.950685,0.1,0.977465,0.925333,0.1,0.947945,0.05,0.974648,0.930667,0.2,0.950685,0.1,0.977465
376,Vase,0.957333,0.7,0.964384,0.35,0.991549,0.936,0.3,0.953425,0.15,0.980282,0.957333,0.7,0.964384,0.35,0.991549
377,Vase,0.941333,0.4,0.956164,0.2,0.983099,0.92,0,0.945205,0,0.971831,0.941333,0.4,0.956164,0.2,0.983099
378,Vase,0.925333,0.1,0.947945,0.05,0.974648,0.930667,0.2,0.950685,0.1,0.977465,0.925333,0.1,0.947945,0.05,0.974648
379,Vase,0.952,0.6,0.961644,0.3,0.988732,0.925333,0.1,0.947945,0.05,0.974648,0.952,0.6,0.961644,0.3,0.988732
380,Vase,0.936,0.3,0.953425,0.15,0.980282,0.92,0,0.945205,0,0.971831,0.930667,0.2,0.950685,0.1,0.977465
381,Fourleg,0.936,0.3,0.953425,0.15,0.980282,0.925333,0.1,0.947945,0.05,0.974648,0.936,0.3,0.953425,0.15,0.980282
382,Fourleg,0.936,0.3,0.953425,0.15,0.980282,0.925333,0.1,0.947945,0.05,0.974648,0.936,0.3,0.953425,0.15,0.980282
383,Fourleg,0.930667,0.2,0.950685,0.1,0.977465,0.92,0,0.945205,0,0.971831,0.930667,0.2,0.950685,0.1,0.977465
384,Fourleg,0.946667,0.5,0.958904,0.25,0.985915,0.925333,0.1,0.947945,0.05,0.974648,0.936,0.3,0.953425,0.15,0.980282
385,Fourleg,0.936,0.3,0.953425,0.15,0.980282,0.925333,0.1,0.947945,0.05,0.974648,0.930667,0.2,0.950685,0.1,0.977465
386,Fourleg,0.925333,0.1,0.947945,0.05,0.974648,0.925333,0.1,0.947945,0.05,0.974648,0.92,0,0.945205,0,0.971831
387,Fourleg,0.936,0.3,0.953425,0.15,0.980282,0.936,0.3,0.953425,0.15,0.980282,0.941333,0.4,0.956164,0.2,0.983099
388,Fourleg,0.936,0.3,0.953425,0.15,0.980282,0.92,0,0.945205,0,0.971831,0.930667,0.2,0.950685,0.1,0.977465
389,Fourleg,0.936,0.3,0.953425,0.15,0.980282,0.92,0,0.945205,0,0.971831,0.936,0.3,0.953425,0.15,0.980282
390,Fourleg,0.92,0,0.945205,0,0.971831,0.925333,0.1,0.947945,0.05,0.974648,0.92,0,0.945205,0,0.971831
391,Fourleg,0.92,0,0.945205,0,0.971831,0.930667,0.2,0.950685,0.1,0.977465,0.925333,0.1,0.947945,0.05,0.974648
392,Fourleg,0.930667,0.2,0.950685,0.1,0.977465,0.930667,0.2,0.950685,0.1,0.977465,0.925333,0.1,0.947945,0.05,0.974648
393,Fourleg,0.92,0,0.945205,0,0.971831,0.925333,0.1,0.947945,0.05,0.974648,0.92,0,0.945205,0,0.971831
394,Fourleg,0.925333,0.1,0.947945,0.05,0.974648,0.92,0,0.945205,0,0.971831,0.930667,0.2,0.950685,0.1,0.977465
395,Fourleg,0.941333,0.4,0.956164,0.2,0.983099,0.925333,0.1,0.947945,0.05,0.974648,0.952,0.6,0.961644,0.3,0.988732
396,Fourleg,0.936,0.3,0.953425,0.15,0.980282,0.925333,0.1,0.947945,0.05,0.974648,0.930667,0.2,0.950685,0.1,0.977465
