Meshno,Category,Accuracy,Presicion,NPV,Sensitivity,Specificity,Accuracy,Presicion,NPV,Sensitivity,Specificity,Accuracy,Presicion,NPV,Sensitivity,Specificity
45,Glass,0.941333,0.3,0.958904,0.166667,0.980392,0.936,0.2,0.956164,0.111111,0.977591,0.941333,0.3,0.958904,0.166667,0.980392
46,Glass,0.952,0.5,0.964384,0.277778,0.985994,0.930667,0.1,0.953425,0.0555556,0.97479,0.952,0.5,0.964384,0.277778,0.985994
48,Glass,0.946667,0.4,0.961644,0.222222,0.983193,0.930667,0.1,0.953425,0.0555556,0.97479,0.946667,0.4,0.961644,0.222222,0.983193
49,Glass,0.962667,0.7,0.969863,0.388889,0.991597,0.930667,0.1,0.953425,0.0555556,0.97479,0.968,0.8,0.972603,0.444444,0.994398
50,Glass,0.946667,0.4,0.961644,0.222222,0.983193,0.930667,0.1,0.953425,0.0555556,0.97479,0.957333,0.6,0.967123,0.333333,0.988796
51,Glass,0.941333,0.3,0.958904,0.166667,0.980392,0.936,0.2,0.956164,0.111111,0.977591,0.962667,0.7,0.969863,0.388889,0.991597
52,Glass,0.946667,0.4,0.961644,0.222222,0.983193,0.941333,0.3,0.958904,0.166667,0.980392,0.946667,0.4,0.961644,0.222222,0.983193
53,Glass,0.952,0.5,0.964384,0.277778,0.985994,0.930667,0.1,0.953425,0.0555556,0.97479,0.962667,0.7,0.969863,0.388889,0.991597
54,Glass,0.946667,0.4,0.961644,0.222222,0.983193,0.930667,0.1,0.953425,0.0555556,0.97479,0.962667,0.7,0.969863,0.388889,0.991597
55,Glass,0.941333,0.3,0.958904,0.166667,0.980392,0.941333,0.3,0.958904,0.166667,0.980392,0.962667,0.7,0.969863,0.388889,0.991597
56,Glass,0.936,0.2,0.956164,0.111111,0.977591,0.936,0.2,0.956164,0.111111,0.977591,0.941333,0.3,0.958904,0.166667,0.980392
57,Glass,0.946667,0.4,0.961644,0.222222,0.983193,0.925333,0,0.950685,0,0.971989,0.957333,0.6,0.967123,0.333333,0.988796
